Tarih,Liman,Model,Durum,Nedenler
2026-03-28 14:30,Hambantota (Sri Lanka),TUA-R (Agir Firlatma),GO,Basarili
2026-03-28 14:30,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:30,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:30,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:30,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:30,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:31,Kismaayo (Somali - TUA),IMECE (Gozlem),GO,Basarili
2026-03-28 14:37,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),SCRUB,Ucus hattinda kumulus bulutu
2026-03-28 14:38,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:42,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),SCRUB,Kritik yakit sicakligi
2026-03-28 14:44,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:45,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:45,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:45,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:45,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:45,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:46,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:46,Hambantota (Sri Lanka),SIMSEK-1 (Yorunge Alti),GO,Basarili
2026-03-28 14:48,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:48,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:51,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:51,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:52,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 14:52,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:12,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:12,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:20,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:21,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:21,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:22,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:24,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:25,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:25,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:25,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:36,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:39,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 19:39,Kismaayo (Somali - TUA),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-28 22:06,Kennedy Space Center (ABD),SIMAV-1 (Sonda Roketi),GO,Basarili
2026-03-29 05:25,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 05:27,Hambantota (Sri Lanka),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 05:35,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 05:54,Kourou (Fransiz Guyanasi),Falcon-9 (Block 5),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 05:55,Hambantota (Sri Lanka),Falcon-9 (Block 5),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 05:55,Kismaayo (Somali - TUA),Falcon-9 (Block 5),GO,Basarili
2026-03-29 06:15,Kennedy Space Center (ABD),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 06:15,Hambantota (Sri Lanka),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 06:15,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 06:15,Kennedy Space Center (ABD),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 06:15,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 06:42,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 06:46,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 06:57,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 06:57,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 06:58,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 06:58,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:00,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:05,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:06,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:06,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:08,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:31,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:41,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:58,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:59,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:05,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:05,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:08,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:12,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:12,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:12,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:14,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:14,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:25,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:25,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:25,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:26,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:26,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:27,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:27,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:27,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:27,Hambantota (Sri Lanka),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:27,Kennedy Space Center (ABD),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:28,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:32,Kennedy Space Center (ABD),Astra-5 (Haberlesme Uydusu),SCRUB,Ucus hattinda kumulus bulutu
2026-03-29 08:33,Hambantota (Sri Lanka),Astra-5 (Haberlesme Uydusu),SCRUB,Yakit doluluk orani yetersiz
2026-03-29 09:05,Kennedy Space Center (ABD),Falcon-9 (Block 5),SCRUB,Kritik bulut kalinligi (>%85)
